,Mission,Organisation,Num Sats,Size/Mass,Homogenaity,Sub-Class,Launch,Status,Ref Index
0,TUBSAT,Technische Universität Berlin,2,8.5 kg,different,idk,1998-07-07,"Reentered, Was operational",0
1,Artemis,Santa Clara University,2,0.895 kg,different,idk,2000-01-27,No signal,3
2,MEMS,DARPA,4,0.275 kg,different,formation,2000-01-27,"Reentered, Was operational",6
3,MEPSI,DARPA,8,0.8 kg,different,idk,2002-11-23,"Reentered, Was semi-operational",13
4,ICECube,Cornell University,2,1U,identical,idk,2006-07-26,Launch failure,31
5,STARS,Kagawa University,13,3.8 kg,different,idk,2009-01-23,"Reentered, Was operational",69
6,ZDPS,Zhejiang University,2,3.5 kg,identical,idk,2010-09-22,Was operational,87
7,Perseus,Los Alamos National Laboratory,14,1.5U,different,idk,2010-12-08,"Reentered, Operational",93
8,QbX,US Naval Research Laboratory,2,3U,different,idk,2010-12-08,"Reentered, Operational",97
9,DICE,Utah State University,2,1.5U,identical,formation,2011-10-28,Was operational,107
10,AeroCube,The Aerospace Corporation,20,1U,different,formation,2012-09-13,"Was operational, ?",128
11,SMDC,US Army Space and Missile Defense Command,7,3U,different,idk,2012-09-13,Was operational,135
12,PhoneSat,NASA Ames Research Center,3,1U,identical,idk,2013-04-21,"Reentered, Operational",147
13,ArduSat,Spire,2,1U,different,idk,2013-08-03,"Reentered, Operational",154
14,ORS,John Hopkins University,2,3U,identical,idk,2013-11-20,"Reentered, Operational",169
15,Prometheus,USSOCOM (US Special Operations Command),20,1.5U,different,idk,2013-11-20,"Reentered, Operational",173
16,SENSE,US Air Force Space Command,2,3U,different,idk,2013-11-20,"Reentered, Was operational",181
17,CINEMA,Kyung Hee University,2,3U,different,idk,2013-11-21,Was semi-operational,189
18,Dove,Planet Labs,2,3U,identical,idk,2013-11-21,"Operational, Retired",193
19,FIREBIRD,Montana State University/ University of New Hampshire,4,1.5U,different,idk,2013-12-06,Was operational,217
20,Flock,Planet Labs,515,3U,different,idk,2014-01-09,"Reentered, Operational",226
21,BRITE,Canadian Space Agency (CSA),2,10 kg,different,constellation,2014-06-19,Operational,274
22,QB50P1,Von Karman Institute,2,2U,different,idk,2014-06-19,"Was operational, Semi-operational",296
23,CanX,Space Flight Laboratory,2,7 kg,different,formation,2014-06-30,Operational,299
24,OptiCube,California Polytechnic State University,3,3U,different,idk,2015-05-20,Passive,395
25,Dust,National University of Defense Technology (NUDT),4,30 g,different,idk,2015-09-19,Operational,428
26,XW,CAMSAT (Chinese Amateur Satellite Group),5,10 kg,different,idk,2015-09-19,Operational,435
27,TW,Shanghai Engineering Centre for Microsatellites,2,2U,different,idk,2015-09-25,"Reentered, Was operational",442
28,Lemur,Spire,133,3U,different,idk,2015-09-28,"Operational, ?",445
29,PropCube,Naval Postgraduate School (NPS),2,1U,identical,idk,2015-10-08,Operational,455
30,SINOD,SRI International,2,2U,identical,idk,2015-10-08,"Unknown, Likely operational",457
31,SNaP,US Army Space and Missile Defense Command,3,3U,different,idk,2015-10-08,Was operational,459
32,EDSN,NASA Ames Research Center,8,1.5U,identical,idk,2015-11-04,Launch failure,463
33,Nodes,NASA Ames Research Center,2,1.5U,identical,idk,2015-12-06,"Reentered, Was operational",489
34,INS,ISRO,2,8.4 kg,identical,idk,2017-02-15,Unknown,676
35,BIRD,Kyushu Institute of Technology,3,1U,identical,idk,2017-06-03,"Reentered, No signal",728
36,Tanyusha,Southwestern State University,4,3U,different,idk,2017-06-14,"Reentered, Was operational",732
37,Diamond,Sky and Space Global,11,3U,different,idk,2017-06-23,Operational,738
38,CICERO,GeoOptics,4,6U,different,idk,2017-07-14,Was operational,764
39,Landmapper,Astro Digital,25,6U,different,constellation,2017-07-14,No signal,816
40,MKA,Dauria Aerospace,2,6U,identical,idk,2017-07-14,No signal,827
41,X37B,DARPA,3,3U,identical,idk,2017-09-07,Unknown,836
42,Aerocube,The Aerospace Corporation,2,1.5U,different,idk,2017-11-12,Operational,843
43,CANYVAL,Yonsei University,3,1U,different,idk,2018-01-12,No signal,880
44,SpaceBEE,Swarm Technologies,178,0.25U,different,constellation,2018-01-12,Operational,899
45,S,Technische Universität Berlin,4,8 kg,identical,idk,2018-02-01,Operational,918
46,DebrisSat,SSTL,2,2U,different,idk,2018-04-02,"Was operational, Reentered",930
47,MarCO,NASA,2,6U,different,idk,2018-05-05,Was operational,935
48,Biarri,US Air Force Space Command,3,3U,identical,idk,2018-06-29,"On ISS, Unknown, ?",954
49,SiriusSat,Sirius Educational Centre,2,1U,identical,idk,2018-07-09,"Reentered, Operational",959
50,ELFIN,University of California,2,3U,different,idk,2018-09-15,Operational,962
51,Proxima,Fleet Space,2,1.5U,different,idk,2018-11-11,Operational,981
52,Polar,US Coast Guard,2,6U,different,idk,2018-12-03,Operational,1044
53,RANGE,Georgia Tech,2,1.5U,identical,idk,2018-12-03,Unknown,1048
54,SPAWAR,"US Navy PEO Space Systems (NAVWAR, SPAWAR)",3,1U,different,idk,2018-12-03,Passive,1056
55,CAT,Johns Hopkins Applied Physics Laboratory,2,3U,different,idk,2018-12-05,"Reentered, Operational",1064
56,Quantum,SEOPS,2,3U,different,idk,2018-12-05,Passive,1067
57,Ladybird,Commsat,5,6U,identical,constellation,2018-12-07,Operational,1071
58,CubeSail,University of Illinois,2,1.5U,identical,idk,2018-12-16,Was semi-operational,1087
59,D,German Orbital Systems,3,3U,identical,idk,2018-12-27,Operational,1095
60,SAMSON,?,6,6U,different,idk,2018-12-27,Passive,1118
61,ThinSat,Virginia Space,21,ThinSat D+4T,different,idk,2019-04-17,"Reentered, Operational, ?",1168
62,E,University of Michigan,2,3U,identical,idk,2019-06-25,"Reentered, Operational",1191
63,TEPCE,US Naval Research Laboratory,2,1.5U,identical,idk,2019-06-25,"Reentered, Operational",1199
64,BEESAT,Berlin Technical University,10,0.25U,different,idk,2019-07-05,Operational,1209
65,Pearl,US Air Force Space Command,2,6U,identical,idk,2019-08-18,Operational,1244
66,NOOR,Stara Space,2,PocketQube 3p,identical,constellation,2019-12-06,"Reentered, No signal",1290
67,Tianqi,Guodian Gaoke,2,6U,different,constellation,2019-12-07,Unknown,1294
68,Tianyi,Spacety,2,6U,identical,idk,2019-12-07,Operational,1296
69,ANDESITE,Boston University,8,0.38 kg,different,idk,2020-06-13,"On spacecraft, ?",1319
70,FSSCat,Universitat Politècnica de Catalunya,2,6U,identical,idk,2020-09-02,Operational,1368
71,Kepler,Kepler Communications,19,6U,different,constellation,2020-09-28,Operational,1399
72,NetSat,Zentrum für Telematik,4,3U,identical,formation,2020-09-28,Operational,1407
73,Yarilo,Bauman Moscow State Technical University,2,1.5U,identical,idk,2020-09-28,Operational,1412
74,Descent,York University,2,1U,identical,idk,2020-10-03,"Reentered, No signal",1415
75,KSM1,Kleos Space,4,6U,identical,constellation,2020-11-07,Operational,1432
76,BRO,UnSeenLabs,2,6U,identical,idk,2020-11-20,"Operational, ?",1442
77,Dragracer,TriSept,2,6U (1/2 12U XL),identical,idk,2020-11-20,"Reentered, Operational",1444
78,PICS,Brigham Young University,2,1U,identical,idk,2021-01-17,No signal,1478
79,ARCE,University of South Florida,3,0.5U,different,idk,2021-01-24,Operational,1487
80,Astrocast,Astrocast,30,3U,different,idk,2021-01-24,Operational,1491
81,V,Carnegie Mellon,3,1U,different,formation,2021-01-24,Was operational,1603
82,CubeSX,Moscow Institute of Electronics and Mathematics,2,3U,different,idk,2021-03-22,Operational,1659
83,RAAF,University of New South Wales (UNSW Canberra),2,6U (1/2 12U),identical,idk,2021-03-22,Operational,1673
84,TDO,US Air Force Research Laboratory,2,12U,identical,idk,2021-05-18,"Unknown, Passive, ?",1687
85,CNCE1,Missile Defense Agency,2,3U,different,idk,2021-06-30,Operational,1701
86,KSF1,Kleos Space,4,6U,different,constellation,2021-06-30,Operational,1708
87,LINCS1,Space Development Agency,2,12U,identical,idk,2021-06-30,"No signal, ?",1718
88,STORK,SatRevolution,13,3U,different,idk,2021-06-30,Operational,1754
89,GENESIS,AMSAT EA (Spain),4,PocketQube 1p,different,idk,2021-09-02,Launch failure,1774
90,Qubik,Libre Space,2,PocketQube 1p,different,idk,2021-09-02,Launch failure,1777
91,Cesium,CesiumAstro,2,6U,different,idk,2021-09-27,Operational,1780
