,Mission,Sat Name,i,j
0,TUBSAT,TUBSAT-N,0,1
1,TUBSAT,TUBSAT-N1,0,1
2,Artemis,Artemis Louise,3,4
3,Artemis,Artemis Thelma,3,4
4,MEMS,MEMS 1A,6,7
5,MEMS,MEMS 1B,6,7
6,MEMS,MEMS 2A,10,11
7,MEMS,MEMS 2B,10,11
8,MEPSI,MEPSI 1A,13,14
9,MEPSI,MEPSI 1B,13,14
10,ICECube,ICECube 1,31,32
11,ICECube,ICECube 2,31,32
12,MEPSI,MEPSI 2A,45,46
13,MEPSI,MEPSI 2B,45,46
14,STARS,STARS-1 Daughter,69,70
15,STARS,STARS-1 Mother,69,70
16,ZDPS,ZDPS 1A 01,87,88
17,ZDPS,ZDPS 1A 02,87,88
18,Perseus,Perseus 000,93,94
19,Perseus,Perseus 001,93,94
20,Perseus,Perseus 002,93,95
21,Perseus,Perseus 003,93,96
22,QbX,QbX-1,97,98
23,QbX,QbX-2,97,98
24,DICE,DICE-1,107,108
25,DICE,DICE-2,107,108
26,AeroCube,AeroCube-4B,128,129
27,AeroCube,AeroCube-4C,128,129
28,SMDC,SMDC-ONE 2.1,135,136
29,SMDC,SMDC-ONE 2.2,135,136
30,PhoneSat,PhoneSat 1.0a,147,148
31,PhoneSat,PhoneSat 1.0b,147,148
32,PhoneSat,PhoneSat 2.0a,147,149
33,ArduSat,ArduSat,154,155
34,ArduSat,ArduSat-X,154,155
35,ORS,ORS Tech 1,169,170
36,ORS,ORS Tech 2,169,170
37,Prometheus,Prometheus 1-1,173,174
38,Prometheus,Prometheus 1-2,173,174
39,Prometheus,Prometheus 1-3,173,175
40,Prometheus,Prometheus 1-4,173,176
41,Prometheus,Prometheus 1-5,173,177
42,Prometheus,Prometheus 1-6,173,178
43,Prometheus,Prometheus 1-7,173,179
44,Prometheus,Prometheus 1-8,173,180
45,SENSE,SENSE SV1,181,182
46,SENSE,SENSE SV2,181,182
47,CINEMA,CINEMA 2,189,190
48,CINEMA,CINEMA 3,189,190
49,Dove,Dove-3,193,194
50,Dove,Dove-4,193,194
51,AeroCube,AeroCube-5A,213,214
52,AeroCube,AeroCube-5B,213,214
53,FIREBIRD,FIREBIRD A,217,218
54,FIREBIRD,FIREBIRD B,217,218
55,SMDC,SMDC-ONE 2.3,221,222
56,SMDC,SMDC-ONE 2.4,221,222
57,Flock,Flock-1 Dove-1,226,227
58,Flock,Flock-1 Dove-2,226,227
59,Flock,Flock-1 Dove-3,226,228
60,Flock,Flock-1 Dove-4,226,229
61,Flock,Flock-1 Dove-5,226,230
62,Flock,Flock-1 Dove-6,226,231
63,Flock,Flock-1 Dove-7,226,232
64,Flock,Flock-1 Dove-8,226,233
65,Flock,Flock-1 Dove-9,226,234
66,Flock,Flock-1 Dove-10,226,235
67,Flock,Flock-1 Dove-11,226,236
68,Flock,Flock-1 Dove-12,226,237
69,Flock,Flock-1 Dove-13,226,238
70,Flock,Flock-1 Dove-14,226,239
71,Flock,Flock-1 Dove-15,226,240
72,Flock,Flock-1 Dove-16,226,241
73,Flock,Flock-1 Dove-17,226,242
74,Flock,Flock-1 Dove-18,226,243
75,Flock,Flock-1 Dove-19,226,244
76,Flock,Flock-1 Dove-20,226,245
77,Flock,Flock-1 Dove-21,226,246
78,Flock,Flock-1 Dove-22,226,247
79,Flock,Flock-1 Dove-23,226,248
80,Flock,Flock-1 Dove-24,226,249
81,Flock,Flock-1 Dove-25,226,250
82,Flock,Flock-1 Dove-26,226,251
83,Flock,Flock-1 Dove-27,226,252
84,Flock,Flock-1 Dove-28,226,253
85,STARS,STARS-II,263,264
86,AeroCube,AeroCube-6A,271,272
87,AeroCube,AeroCube-6B,271,272
88,BRITE,BRITE-CA 1,274,275
89,BRITE,BRITE-CA 2,274,275
90,Flock,Flock-1c Dove-1,278,279
91,Flock,Flock-1c Dove-2,278,279
92,Flock,Flock-1c Dove-3,278,280
93,Flock,Flock-1c Dove-4,278,281
94,Flock,Flock-1c Dove-5,278,282
95,Flock,Flock-1c Dove-6,278,283
96,Flock,Flock-1c Dove-7,278,284
97,Flock,Flock-1c Dove-8,278,285
98,Flock,Flock-1c Dove-9,278,286
99,Flock,Flock-1c Dove-10,278,287
100,Flock,Flock-1c Dove-11,278,288
101,Perseus,Perseus-M 1,292,293
102,Perseus,Perseus-M 2,292,293
103,QB50P1,QB50P1,296,297
104,QB50P1,QB50P2,296,297
105,CanX,CanX-4,299,300
106,CanX,CanX-5,299,300
107,Flock,Flock-1b Dove-1,305,306
108,Flock,Flock-1b Dove-2,305,306
109,Flock,Flock-1b Dove-3,305,307
110,Flock,Flock-1b Dove-4,305,308
111,Flock,Flock-1b Dove-5,305,309
112,Flock,Flock-1b Dove-6,305,310
113,Flock,Flock-1b Dove-7,305,311
114,Flock,Flock-1b Dove-8,305,312
115,Flock,Flock-1b Dove-9,305,313
116,Flock,Flock-1b Dove-10,305,314
117,Flock,Flock-1b Dove-11,305,315
118,Flock,Flock-1b Dove-12,305,316
119,Flock,Flock-1b Dove-13,305,317
120,Flock,Flock-1b Dove-14,305,318
121,Flock,Flock-1b Dove-15,305,319
122,Flock,Flock-1b Dove-16,305,320
123,Flock,Flock-1b Dove-17,305,321
124,Flock,Flock-1b Dove-18,305,322
125,Flock,Flock-1b Dove-19,305,323
126,Flock,Flock-1b Dove-20,305,324
127,Flock,Flock-1b Dove-21,305,325
128,Flock,Flock-1b Dove-22,305,326
129,Flock,Flock-1b Dove-23,305,327
