,System,Institution,# sats,Sat Size,Size Spec,Homogenaity,Field,Sub-Class,Category,Type,Control Arch,Launch Date,Operation,Status,Orbit,Funding,Ref,,,,,,,,,
,AAReST,Cal Tech,2,micro,3U,,Astronomy,Formation,High Coop,Ren & Dock,,,,in Dev,,,,,,,,,,,,
,CANYVAL-C,Yonsei U,2,nano,1U,different,Astronomy,Formation,Med Coop,Rel Pos,Virtual Struct,,,Launched,LEO,,,,,,,,,,,
,OLFAR,Delf U,50,nano,,,Astronomy,Formation,Low Coop,Swarn,,,,in Dev,,,,,,,,homo ,field,sub-class,Category,type
,SULFRO,Chinese Academy of Sci,13,nano,,,Astronomy,Formation,,Passive,,,,Concept,L2,,,,,,,different,,Formation ,High Coop,Rel Pos & Att
,Centinel,Imperial College London,100,,,,Earth Sci,Constellation,,,,,,Concept,Magnetosphere,,,,,,,identical,,Constellation ,Med Coop,Virt Struct
,Charybdis,U of Strathclyde,115,nano,,identical,Earth Sci,Constellation,,Virtual,Singular,,,Complete,,,,,,,,,,Constellation of Formations,Low Coop,Ren & Dock
,DICE,Utah State U,2,micro,1.5U,identical,Earth Sci,Constellation,,Local,Singular,10/28/11,4,Complete,"460 x 810 km, 101.7 deg",Univeristy,108,,,,,,,,Local,Rel Pos 
,EDSN,NASA Ames,8,nano,1.5U,identical,Earth Sci,Formation,,Rel Attitude,Parent Sibling,11/4/15,,Launch Failure,500km,Private,464,,,,,,,,Global ,Rel Att
,ELF measurment Project,Utah State U,48,pico,20kg,identical,Earth Sci,Constellation,,Passive,Singular,,,,,,,,,,,,,,Regional,Swarm
,FIREBIRD,Montana State U,4,micro,1.5U,different,Earth Sci,Constellation,,Local,,12/6/13,,Launched,467x883km 120.5º,Univeristy,218,,,,,,,,,Tether
,Flock-1,Planet Labs Inc,515,micro ,3U,identical,Earth Sci,Constellation,,Global,,1/9/14,today,Complete,"400km, 52º inc",Private,227,,,,,,,,,
,FTS Cubesat,U of Michigan,3,micro,6U,identical,Earth Sci,Const of Form,,Global,,,,Concept,,,,,,,,,,,,
,Inospheric Tomography,SRI International,,,,,Earth Sci,Constellation,,,,,,Concept,,,,,,,,,,,,
,InSAR,U of Toronto,,,,,Earth Sci,Formation,,,,,,Concept,,,,,,,,,,,,
,QB50,Von Karman Inst,36,micro ,2U,different,Earth Sci,Const of Form,,Global,,6/19/14,2,Launch Date,"610 x 700 km, 98 deg",Institute,293,,,,,,,,,
,SSAsat,U of Adelaide,5,,,,Earth Sci,Constellation,,,,,,Concept,GEO,,,,,,,,,,,
,Temperature and Humidity Sounding,JPL,4,micro,6U,different,Earth Sci,Constellation,,Passive,Singular,,,Concept,low incliniation,,,,,,Astronomy,,,,,
,Solar Polar Imager,JPL,6,nano,6U,,Heliophysics,Constellation,,,,,,Concept,Sun,,,,,,Earth Sci,,,,,
,Artemis,Artemis Space,200,nano ,,,Planetray Sci,Constellation,,,,,,Concept,,,,,,,Helio,,,,,
,CubeSat Constellation at Mars,JPL,60,,,,Planetray Sci,Constellation,,,,,,Concept,Mars,,,,,,Planetary Sci,,,,,
,iROCC,MIT,6,nano,3U,,Planetray Sci,Constellation,,,,,,Concept,,,,,,,Sat Internet,,,,,
,Astrocast,AstroCast,30,,3U,,Sat Internet,Constellation,,Global,,1/24/21,today,Launched,"525 km, 97.5 deg",Private,1492,,,,Tech Demo,,,,,
,Axelglobe,Axleglobe,50,,,,Sat Internet,Constellation,,,,,,,,,,,,,,,,,,
,ICEYE,Iceye,18,,,,Sat Internet,Constellation,,,,,,,,,,,,,,,,,,
,Kepler Constellation,Kepler,140,,6U,different,Sat Internet,Constellation,,Local,,9/28/20,today,Launched,"525 km, 97.5 deg",Private,1499,,,,,,,,,
,Lemur-2,Spire,175,nano,3U,identical,Sat Internet,Constellation,,,Singular,,,Launched,LEO,,,,,,,,,,,
,One Web,OneWeb,648,,,,Sat Internet,Constellation,,,,,,,,,,,,,,,,,,
,Starlink ,SpaceX,11927,,,,Sat Internet,Constellation,,,,,,,,,,,,,,,,,,
,Telesat LEO,,292,,,,Sat Internet,Constellation,,,,,,,,,,,,,,,,,,
,AeroCube-4,Aerospace Corp,3,nano,1U,,Tech Demo,Formation,,Rel Pos,,,,Complete,elliptical LEO,,,,,,,,,,,
,CanX-4 & 5,U of Toronto,2,nano,7kg,different,Tech Demo,Formation,,Rel Pos,,6/30/14,4,Launched,"650 km, 98.2 deg, SSO",University,300,,,,,,,,,
,CANYVAL-X,Yonsei U,2,nano,"1U,2U",different,Tech Demo,Formation,,Virt Struct,,,,Launched,LEO,,,,,,,,,,,
,CPOD,Tyvak Nano-Sat Systems,2,nano,3U,different,Tech Demo,Formation ,,Ren & Dock,,5/25/22,today,:aunched,"530 km, 97.5 deg",Private,2011,link,,,,,,,,
,HiMARC,Stanford U,4,nano,3U,,Tech Demo,Formation,,Rel Pos,,,,Concept,,,,,,,,,,,,
,HumSat,ESA,,,,,Tech Demo,Constellation,,,,,,Concept,,,,,,,,,,,,
,KickSat,Cornell U,105,femto,7.5 g ,,Tech Demo,Formation ,,Swarm,,,,Complete,"325km, 98.2º",,,,,,,,,,,
,Prometheus,Los Alamos Nat Lab,20,nano,1.5U,different,Tech Demo,Constellation,,Global,,11/20/13,2,Launched,"500 km, 40.5 deg",Military,174,,,,,,,,,
,QUEST,Arizona State U,2,,,,Tech Demo,Formation,,Tethered,,,,in Dev,,,,,,,,,,,,
,RANGE,Georgia Tech,2,nano,1.5U,identical,Tech Demo,Formation,,Rel Pos,Lead Follow,12/3/18,today,Launched,"580 km, 97.8 deg",University,1049,,,,,,,,,
,Real-Time Geolocation,Israel Inst of Tech,3,,,,Tech Demo,Formation,,Rel Pos,,,,Concept,LEO,,,,,,,,,,,
,SWIFT,JPL,1000,femto,100g,,Tech Demo,Formation,,Swarm,,,,Concept,LEO,,,,,,,,,,,
,TW-1,Chinese Academy of Sci,2,nano,2U,different,Tech Demo,Formation,,Rel Pos,projection,9/25/15,4,Launched,"470 km, 97 deg, SSO",University,442,,,,,,,,,
,UIUC-JPL Fprmation Flying,U of Illinois at Urbana,6,,,,Tech Demo,Formation,,Rel Pos,,,,Concept,LEO,,,,,,,,,,,
,Cislunar PNT,GT,,,,,,,,,,,,,,,,,,,,,,,,
,CrewDragon & ISS,NASA ,2,,,,,,,,,,,,,,,,,,,,,,,
,DARIS,,,,,,,,,,,,,,,,,,,,,,,,,
,Molniya,Soviet Union,,,,,,,,,,,,,,,,,,,,,,,,
,RapidEye,,,,,,,,,,,,,,,,,,,,,,,,,
,RF Astronomy,Georgia Tech,7,,,,,,,,,,,,,,,,,,,,,,,
,SkySat,,,,,,,,,,,,,,,,,,,,,,,,,
,STRaND-2,SSTL,2,nano,3U,different,Tech Demo,Formation,,Ren & Dock,vision ,,,canceled,,Private,3421,,,,,,,,,
,ViaSat-3,ViaSat,3,,,,,,,,,,,,,,,,,,,,,,,
,Visors,Georgia Tech,2,nano,6U,different,Heliophysics,Format,,Rel Pos & Att,,,,in Dev,LEO,University,,,,,,,,,,
-,TUBSAT,Technische Universit√§t Berlin,2,nano,8.5 kg,different,Tech Demo,Constellation,,Global,,7/7/98,4,"Reentered, Was operational","400 x 770 km, 78.9 deg",University,0,link,,,,,,,,
-,Artemis,Santa Clara University,2,pico,0.895 kg,different,Tech Demo,Constellation,,Local,passive,1/27/00,,No signal,"750 x 800 km, 100.2 deg",University,3,,,,,,,,,
-,MEMS,DARPA,4,pico,0.275 kg,different,Tech Demo,Formation,,Swarm,passive,1/27/00,2,"Reentered, Was operational","750 x 800 km, 100.2 deg",Military,6,,,,,,,,,
-,MEPSI,DARPA,8,pico,0.8 kg,different,Tech Demo,Formation,,Tethered,,11/23/02,1,"Reentered, Was semi-operational","390 km, 51.6 deg",Military,13,,,,,,,,,
-,ICECube,Cornell University,2,nano,1U,identical,Earth Sci,Constellation,,Local,passive,7/26/06,,Launch failure,,University,31,,,,,,,,,
-,STARS,Kagawa University,13,nano,3.8 kg,different,Tech Demo,Formation,,Tethered,master slave,1/23/09,1,"Reentered, Was operational","660 km, 98.1 deg, SSO",University,69,,,,,,,,,
-,Perseus,Los Alamos National Laboratory,14,nano,1.5U,different,Tech Demo,Constellation,,Global,,12/8/10,1,"Reentered, Operational","660 km, 98.1 deg, SSO",Institue,93,link,,,,,,,,
-,AeroCube,The Aerospace Corporation,20,nano,1U,different,Tech Demo,Formation,,Rel Pos & Att,,9/13/12,3,"Was operational, ?","470 x 780 km, 64.7 deg",Private,128,,,,,,,,,
-,Prometheus,USSOCOM (US Special Operations Command),20,nano,1.5U,indentical,Tech Demo,Constellation,,Global,,11/20/13,2,"Reentered, Operational","500 km, 40.5 deg",Military,173,,,,,,,,,
-,SENSE,US Air Force Space Command,2,nano,3U,different,Earth Sci,Formation,,Rel Att,,11/20/13,2,"Reentered, Was operational","500 km, 40.5 deg",Military,181,,,,,,,,,
-,TRIO-CINEMA,Kyung Hee University,3,nano,3U,different,Earth Sci,Constellation,,Local,,11/21/13,1,Was semi-operational,"620 km, 97.8 deg, SSO",University,189,,,,,,,,,
-,BRITE,Canadian Space Agency¬†(CSA),3,nano,10 kg,different,Astronomy,Constellation,,Local,,6/19/14,8,Operational,"610 x 700 km, 98 deg",Agency,274,,,,,,,,,
-,Dust,National University of Defense Technology (NUDT),4,femto,30 g,different,Tech Demo,Formation,,Swarm,Passive,9/19/15,3,Operational,"530 km, 97.5 deg, SSO",University,428,,,,,,,,,
-,XW-2,CAMSAT (Chinese Amateur Satellite Group),6,nano,10 kg,different,Earth Sci,Constellation,,Global,,9/19/15,4,Operational,"530 km, 97.5 deg, SSO",University,435,link,,,,,,,,
-,Lemur,Spire,133,nano,3U,different,Earth Sci,Constellation,,Global,,9/28/15,7,"Operational, ?","640 km, 6 deg",Private,445,link,,,,,,,,
-,PropCube,Naval Postgraduate School (NPS),3,nano,1U,identical,Earth Sci,Constellation,,Local,,10/8/15,3,Operational,"500 x 800 km, 64.8 deg",University,455,link ,,,,,,,,
-,SINOD,SRI International,2,nano,2U,identical,Tech Demo,Constellation,,Global,,10/8/15,7,"Unknown, Likely operational","501 x 800 km, 64.8 deg",Private,457,link,,,,,,,,
-,Nodes,NASA Ames Research Center,2,nano,1.5U,identical,Tech Demo,Formation,,Rel Att,,12/6/15,2,"Reentered, Was operational","400 km, 51.6 deg, ISS",Agency,489,,,,,,,,,
-,BIRD,Kyushu Institute of Technology,3,nano,1U,identical,Tech Demo,Constellation,,Global,,6/3/17,2,"Reentered, No signal","400 km, 51.6 deg, ISS",University,728,,,,,,,,,
-,Tanyusha,Southwestern State University,4,nano,3U,different,Tech Demo,Formation,,Ren & Dock ,,6/14/17,1,"Reentered, Was operational","400 km, 51.6 deg, ISS",University,732,link,,,,,,,,
-,Diamond,Sky and Space Global,11,nano,3U,different,Tech Demo,Constellation,,Global,,6/23/17,4,Operational,"500 km, 97.5 deg, SSO",Private,738,,,,,,,,,
-,CICERO,GeoOptics,4,nano,6U,different,Earth Sci,Constellation,,Global,,7/14/17,1,Was operational,"590 km, 97.7 deg, SSO",Private,764,,,,,,,,,
-,Landmapper,Astro Digital,25,nano,6U,different,Earth Sci,Constellation,,Global,,7/14/17,0,No signal,"590 km, 97.7 deg, SSO",Private,816,,,,,,,,,
