,Mission name,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Photo
0,TUBSAT-N,Technische Universität Berlin,Germany,8.5 kg,1998-07-07,"Reentered, Was operational",Store and forward communication.,
1,TUBSAT-N1,Technische Universität Berlin,Germany,3 kg,1998-07-07,"Reentered, Was operational",Store and forward communication.,
2,"Artemis JAK (MASat, Picosat 5)",Santa Clara University,US,0.2 kg,2000-01-27,No signal,Simple beacon transmitter.,
3,"Artemis Louise (Lightning, Picosat 8)",Santa Clara University,US,0.895 kg,2000-01-27,No signal,Research the effects of lightning on the outer ionosphere.,
4,"Artemis Thelma (Thunder, Picosat 7)",Santa Clara University,US,0.6 kg,2000-01-27,No signal,Research the effects of lightning on the outer ionosphere.,
5,ASUSat 1 (Arizona State University Satellite),Arizona State University,US,6 kg,2000-01-27,Was operational,Educational space systems engineering and Earth imaging.,
6,"MEMS 1A (Pico 21, PICOSAT-1)",DARPA,US,0.275 kg,2000-01-27,"Reentered, Was operational",Demonstrate the basic functional elements of a low-power LEO “swarm” or formation PICOSAT array.,
7,"MEMS 1B (Pico 23, Picosat 1)",DARPA,US,0.275 kg,2000-01-27,"Reentered, Was operational",Demonstrate the basic functional elements of a low-power LEO “swarm” or formation PICOSAT array.,
8,StenSat (Picosat 6),Stensat Group,US,0.2 kg,2000-01-27,No signal,Voice repeater for amateur radio operators.,
9,SNAP-1 (Surrey Nanosatellite Applications Platform),Surrey Satellite Technology,UK,6.5 kg,2000-06-28,Was operational,"SNAP-1 nanosatellite, weighing 6.3kg, had a number of firsts, including what we believe to be the first nanosat with propulsion.",
10,"MEMS 2A (Pico 20, PICOSAT 7)",DARPA,US,0.275 kg,2000-07-19,"Reentered, Was operational",Demonstrate the basic functional elements of a low-power LEO “swarm” or formation PICOSAT array.,
11,"MEMS 2B (Pico 22, PICOSAT 8)",DARPA,US,0.275 kg,2000-07-19,"Reentered, Was operational",Demonstrate the basic functional elements of a low-power LEO “swarm” or formation PICOSAT array.,
12,Munin,Swedish Institute of Space Physics,Sweden,6 kg,2000-11-21,Was operational,Collect data on auroral activity to predict space weather.,
13,MEPSI 1A (MEMS-based PicoSat Inspector),DARPA,US,0.8 kg,2002-11-23,"Reentered, Was semi-operational",Demonstrate technologies for miniature autonomous inspector.,
14,MEPSI 1B (MEMS-based PicoSat Inspector),DARPA,US,0.8 kg,2002-11-23,"Reentered, Was semi-operational",Demonstrate technologies for miniature autonomous inspector.,
15,"AAUSAT 1 (AAU-CubeSat, AAU CubeSat)",Aalborg University,Denmark,1U,2003-03-30,Was operational,Educational space systems engineering with ADCS and imaging.,
16,CanX-1,Space Flight Laboratory,Canada,1U,2003-03-30,No signal,Demonstrate novel technologies for ADCS.,
17,CUTE-I (Cubical Tokyo Tech Engineering Satellite-I),Tokyo Institute of Technology,Japan,1U,2003-03-30,Operational,Communication and solar panel deployment.,
18,DTUSat-1,Technical University of Denmark,Denmark,1U,2003-03-30,No signal,Tether deployment to test deorbiting method.,
19,QuakeSat,Stanford University,US,3U,2003-03-30,Was operational,Detecting earthquake ELF emission data. First 3U CubeSat.,
20,XI-IV,University of Tokyo,Japan,1U,2003-03-30,Operational,Demonstrate CubeSat platform technologies and COTS camera.,
21,UNOSAT 1 (Undergraduate Orbital Student Satellite),Universidade Norte do Paraná,Brazil,8.83 kg,2003-08-22,Launch failure,Simple beacon transmitter of telemetry packets.,
22,"TNS-0 (TEKh-42, Technologicesky Nanosputnik)",Moscow Russian Scientific Research Institute,Russia,4.5 kg,2005-02-28,"Reentered, Was operational",Testing Globalstar constellation to operate satellite.,
23,nCube-2,Norwegian University of Technology and Science (NTNU),Norway,1U,2005-10-27,Deployment failure,Educational space systems engineering and AIS receiver.,
24,UWE-1,University of Würzburg,Germany,1U,2005-10-27,Was operational,Demonstrate CubeSat platform technologies and solar cells.,
25,"XI-V (Cubesat-OSCAR-58, Cubesat XI-V)",University of Tokyo,Japan,1U,2005-10-27,Was operational,Demonstrate CubeSat platform technologies and COTS camera.,
26,CUTE-1.7+APD,Tokyo Institute of Technology,Japan,2U,2006-02-21,"Reentered, Was operational",Demonstration of PDA (Personal Digital Assistant) as an onboard computer and other experiments.,
27,AeroCube-1,The Aerospace Corporation,US,1U,2006-07-26,Launch failure,Demonstrate CubeSat platform technologies and CMOS camera.,
28,CP1,California Polytechnic University,US,1U,2006-07-26,Launch failure,Demonstrate CubeSat platform technologies with focus on sun sensor and magnetorquers.,
29,CP2,California Polytechnic University,US,1U,2006-07-26,Launch failure,Demonstrate CubeSat platform technologies and energy dissipation experiment.,
30,"HAUSat-1 (Hannuri-1, Hankuk Aviation University SATellite-1)",Korea Aerospace University (Hankuk Aviation University),South Korea,1U,2006-07-26,Launch failure,Demonstrate CubeSat platform technologies with focus on ADCS.,
31,ICECube 1 (Ionospheric sCintillation Experimental CubeSat),Cornell University,US,1U,2006-07-26,Launch failure,Educational space systems engineering and GPS scintillation experiment.,
